,Decoding Accuracy
403,0.5008474576271187
404,0.576271186440678
405,0.5641242937853107
406,0.44887005649717515
407,0.5347457627118644
408,0.5016949152542373
409,0.5468926553672316
410,0.47146892655367234
411,0.4581920903954802
412,0.5480225988700564
413,0.45282485875706213
414,0.4793785310734463
415,0.5601694915254237
416,0.43954802259887005
417,0.5107344632768361
418,0.5107344632768361
419,0.536723163841808
420,0.45112994350282487
421,0.5683615819209039
422,0.45847457627118643
423,0.5214689265536723
424,0.49745762711864405
425,0.4497175141242938
426,0.5064971751412429
427,0.4519774011299435
428,0.4731638418079096
429,0.48389830508474574
430,0.4491525423728814
431,0.481638418079096
432,0.45734463276836157
433,0.4426553672316384
434,0.5485875706214689
435,0.44717514124293783
436,0.49745762711864405
437,0.4652542372881356
438,0.44463276836158194
439,0.4980225988700565
440,0.49491525423728816
441,0.4598870056497175
442,0.5177966101694915
443,0.5480225988700564
444,0.5372881355932203
445,0.5361581920903955
446,0.5440677966101695
447,0.5528248587570621
448,0.47853107344632767
449,0.47231638418079097
450,0.5587570621468927
451,0.5186440677966102
452,0.5336158192090396
453,0.49887005649717514
454,0.4748587570621469
455,0.4937853107344633
456,0.5553672316384181
457,0.4115819209039548
458,0.5112994350282486
459,0.45677966101694917
460,0.5081920903954802
461,0.5598870056497175
462,0.5146892655367231
463,0.5672316384180791
464,0.5494350282485876
465,0.4844632768361582
466,0.4768361581920904
467,0.5169491525423728
468,0.5152542372881356
469,0.5115819209039548
470,0.4901129943502825
471,0.46073446327683615
472,0.45028248587570624
473,0.4694915254237288
474,0.43531073446327684
475,0.5519774011299435
476,0.47344632768361583
477,0.5870056497175141
478,0.48559322033898306
479,0.5127118644067796
480,0.48898305084745763
481,0.5124293785310734
482,0.48757062146892655
483,0.4615819209039548
484,0.5242937853107345
485,0.49322033898305084
486,0.4844632768361582
487,0.4211864406779661
488,0.5378531073446328
489,0.4387005649717514
490,0.5711864406779661
491,0.5310734463276836
492,0.4081920903954802
493,0.4768361581920904
494,0.5310734463276836
495,0.5389830508474577
496,0.5163841807909605
497,0.4940677966101695
498,0.5211864406779662
499,0.5316384180790961
500,0.5132768361581921
501,0.5290960451977401
502,0.5672316384180791
503,0.5112994350282486
504,0.4971751412429379
505,0.4505649717514124
506,0.5957627118644068
507,0.4209039548022599
508,0.4903954802259887
509,0.47401129943502823
510,0.503954802259887
511,0.4872881355932203
512,0.5669491525423729
513,0.5384180790960452
514,0.5152542372881356
515,0.49491525423728816
516,0.5779661016949152
517,0.488135593220339
518,0.4387005649717514
519,0.4703389830508475
520,0.4019774011299435
521,0.5008474576271187
522,0.5494350282485876
523,0.5576271186440678
524,0.5590395480225989
525,0.5180790960451978
526,0.5251412429378531
527,0.5268361581920904
528,0.5090395480225989
529,0.4669491525423729
530,0.4615819209039548
531,0.5016949152542373
532,0.5293785310734463
533,0.45932203389830506
534,0.5070621468926554
535,0.4709039548022599
536,0.48418079096045197
537,0.4576271186440678
538,0.47570621468926555
539,0.4347457627118644
540,0.45
541,0.5081920903954802
542,0.49689265536723165
543,0.4844632768361582
544,0.4929378531073446
545,0.4638418079096045
546,0.46299435028248587
547,0.45451977401129945
548,0.5392655367231638
549,0.5093220338983051
550,0.4872881355932203
551,0.43531073446327684
552,0.43050847457627117
553,0.5963276836158192
554,0.511864406779661
555,0.5127118644067796
556,0.4576271186440678
557,0.53954802259887
558,0.4901129943502825
559,0.45875706214689266
560,0.4288135593220339
561,0.4793785310734463
562,0.5059322033898305
563,0.5358757062146893
564,0.47627118644067795
565,0.5677966101694916
566,0.4612994350282486
567,0.5706214689265536
568,0.5700564971751413
569,0.49887005649717514
570,0.5127118644067796
571,0.5683615819209039
572,0.5073446327683616
573,0.43728813559322033
574,0.5477401129943503
575,0.507909604519774
576,0.5488700564971751
577,0.4971751412429379
578,0.5214689265536723
579,0.5022598870056497
580,0.46242937853107347
581,0.46016949152542375
582,0.45282485875706213
583,0.5169491525423728
584,0.48983050847457626
585,0.4977401129943503
586,0.47853107344632767
587,0.4675141242937853
588,0.47994350282485876
589,0.557909604519774
590,0.46214689265536724
591,0.5387005649717514
592,0.5440677966101695
593,0.5093220338983051
594,0.4858757062146893
595,0.4655367231638418
596,0.4963276836158192
597,0.4242937853107345
598,0.5245762711864407
599,0.5601694915254237
600,0.4884180790960452
