term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,0.0,-0.041529328617117,0.09597471615203862,0.10285485643298042,0.008978943283689811,0.05399473664646795,-0.01460445366905841,0.040977015255971166,0.061776609596877474,0.09064151762868042,-0.048187077928278185,-0.15478311220283822,0.1877129971396325,0.059527017754919614,-0.045038854103136745,-0.0072003932364795575,-0.0042196822201004125,-0.02552482745958609,-0.05022058805242867,-0.040414696232747474,0.01951285637970601,0.05250251347906165,-0.01619362198496621,0.06719013701428042,0.07889990219036233,0.029801734449758616,-0.052947675875244404,0.05519353356114001,0.05108145773887343,-0.06803016570428409,-0.006782549648081254,-0.04676805660459163,0.011452707392474976,-0.03647647584367594,0.024907263997152845,-0.05722209174940959,-0.0022708715507323007,-0.031042133205333666,-0.11249264495587838,0.1085945943930117,-0.028519302029069188,-0.07317374528778316,0.0529028718961532,-0.04836003804495897,-0.0683976526423423,-0.1452031599100216,-0.10087864055603873,-0.14530390862536577,0.11896837234891669,-0.12638865617054304,0.04724909455219797,0.05569358962615242,-0.009003961638887531,0.043989568047065025,-0.02499497615710076,0.06567094767684023,0.08964011218283977,0.10903451221041258,0.006444874924723842,-0.04575061933404892
bear,-0.041529328617117,0.0,-0.09862220238270691,0.03245328648950646,-0.07541915281019956,-0.06339832159028139,0.07384795349558038,0.04102997175439163,-0.021963246506309514,0.059483976676486694,0.06080255988672913,-0.10026420200210588,0.06761421524315461,0.08255164973261425,0.06792211679015059,0.10782331409655507,-0.043878883902522293,-0.05886743917305139,0.05841400261589355,0.023573197363925907,0.021357648612537083,-0.047352337970553215,-0.05692644532083009,0.05629756012141077,-0.026463484819968963,-0.033609047482472246,-0.12115803019678804,-0.01152338482534837,0.039289721944131425,0.0046438168142231145,-0.12401692698698374,-0.162066179109947,-0.06735352914585455,-0.15149404677253592,-0.1545891699011334,0.01836761906273318,0.08512403806239965,0.015585507521166081,-0.0533153650032511,0.004462019940122658,0.009813065264918323,0.003487531437470756,-0.03899230899523859,0.015036409340223954,-0.027991301839053184,-0.07641091511479922,-0.04743963405743876,-0.14036321819496608,0.08406590108040726,-0.013629664490532906,-0.018974359786082265,-0.05917328977921721,-0.04034603683970264,-0.06171959197789684,-0.06539911256038482,-0.0044316098977584956,0.07771967034220739,0.03809638868610027,0.06529867487605542,0.0047056423585858514
cat,0.09597471615203862,-0.09862220238270691,0.0,0.13322173535741266,-0.08410914575483319,-0.028899162686847085,-0.09988502979274833,-0.030994377337900336,-0.016564254527142136,0.09724772906225729,0.05310065623918933,-0.016104945475983706,0.1340583448231765,0.1170757435008575,-0.0437703343482779,0.038901765318361314,0.042932122405481665,0.030252942991775694,-0.0030676710137263197,-0.05367919348674036,-0.009255887457449763,0.0325966304255729,-0.015439914788721698,-0.0017368459729418806,0.013204610888414209,-0.018570807992409538,-0.08444817801989934,0.040221558403777585,-0.0075886096704515515,0.03307970692269324,-0.007032383187710212,-0.06709142043198979,0.05549578981346073,0.015663706297083357,-0.07881255953873514,-0.07431053363243298,0.028035172299831074,-0.031206938837574694,-0.060481033524025674,0.0024561387157416154,0.05438748122953893,-0.1327105217704789,-0.014596742434014626,0.06337849775394502,-0.09010668373305876,-0.08698403338836506,0.020696031248423674,-0.12531998988549795,0.024493212616338883,-0.1776924058433818,-0.032227299553726774,-0.046324525601731247,-0.03646267728315866,0.007802031894117517,-0.08203586335823472,-0.00703784025693463,-0.03329500912712954,-0.0402628596642019,-0.10020856072950382,0.0007392263896777995
dog,0.10285485643298042,0.03245328648950646,0.13322173535741266,0.0,-0.04722558046861913,-0.03705736681871616,0.008482628900148947,0.06164993100615801,0.01503730749030241,0.0825679517964357,0.12065260958371338,-0.02187983197547809,0.13215958484476656,0.1993620026001147,-0.017697294713776512,0.09288884732788785,0.022252046788225205,-0.032158255194325844,0.02186179552382969,-0.0784820775055939,0.07919785765455889,0.023052741145363403,-0.01847820415279737,0.05515874782266941,0.0460762748666608,0.018986289904033088,-0.14813474385521375,0.0672281291903358,0.08054810695270426,-0.013951249033347574,0.016487499588958565,-0.09754646645036928,0.03200193140098037,-0.03811423743908787,-0.05973156190552725,0.0434721555100159,0.03878281097286354,-0.05704463841445338,0.003899323814311406,-0.017271707979380102,0.042444268875635724,-0.09539389294830089,0.0636627485116352,0.08274263197153309,-0.03223063894635997,-0.05577045491070687,-0.026727865300441495,-0.08815847986247535,0.0866216730955249,-0.12146771923419228,0.04582722186256122,-0.024831039338165425,0.07435151077391267,0.036193610869492826,-0.011197022789234526,0.07985442385145561,0.11799946942755793,0.03667852470945851,0.05945528075168982,0.06459976859772662
cow,0.008978943283689811,-0.07541915281019956,-0.08410914575483319,-0.04722558046861913,0.0,-0.028509588038188954,-0.009492060974151964,0.0015287534606883146,0.12164185190526125,0.01592759580755404,0.01649096637727384,-0.02917017524989303,0.11619847509119322,0.09165422027290188,0.08798218116626873,0.07877113586957793,-0.01514777252606217,-0.0449934688805739,0.012110536183973106,-0.035301488368836946,-0.01950027919486283,-0.026090883440552604,0.011031487884994806,-0.025805466637984303,0.029564738359417336,-0.02781318446411249,-0.16097873662068296,0.02380278680598999,0.02649745717164681,-0.10545695407613047,-0.09260200637963158,-0.15354003310380523,0.0008861632960618093,-0.1082250038441587,-0.01661622590928946,-0.04044636052328944,-0.052383010696473886,-0.003875845061024827,-0.10996119829713677,0.04142108595201624,-0.0030035574818235607,0.03506422730862516,-0.032863933087454264,-0.010097063676750187,-0.01185010677426071,-0.07940600193202728,-0.07329248476236087,-0.16308622962473468,0.04588022762695711,-0.16472580036798629,0.027208115316811693,0.017210525843714408,0.07281037215185523,-0.022440937896169327,0.06541598275661112,0.03693849350384479,0.07469631065752372,0.09203652841650695,0.06765151111912826,-0.02483722243766783
leg,0.05399473664646795,-0.06339832159028139,-0.028899162686847085,-0.03705736681871616,-0.028509588038188954,0.0,0.003549425213948132,0.058162053158756444,0.05438148179936597,-0.004362064977401381,0.02521783761458432,-0.11597382792499616,-0.010698243711232638,0.0009767543076423801,-0.0323719299376508,-0.043774136369999134,-0.12903546924065926,-0.04651850327899143,0.030078372741127152,0.040862965781775784,0.0008976403314188142,0.06062957934397825,-0.09922638613550486,-0.08914881702801272,-0.05494867233085801,0.06335383242509735,-0.12286732673493003,0.028874055481570154,0.10816631677818314,-0.07791698690310156,0.0039334374788595194,0.03622935206277908,0.0924344143720667,-0.001169295819014135,-0.11588969583745506,-0.03930720341320981,0.010783350167195893,-0.019391487721742567,-0.06406553568053797,0.2449316088554965,0.05347152019649275,-0.00157945034776924,-0.06052668765915685,0.0022886255397025976,0.039005191206328255,-0.06847141666017902,-0.060566394455778896,-0.1286334638902113,0.1526263959091633,-0.11059126267250502,-0.03944055397140231,0.01917185567341946,-0.0011729189132989107,-0.003907519783838478,0.010965207489706544,0.05474293704024208,0.09584152207485241,0.05984605669770596,0.013545612232614218,-0.004738743275470025
arm,-0.01460445366905841,0.07384795349558038,-0.09988502979274833,0.008482628900148947,-0.009492060974151964,0.003549425213948132,0.0,0.10011801073616378,-0.020546669143775342,0.05052481324572361,-0.03649436111252467,-0.17459388707442247,-0.07598509725509173,0.04860368681821181,0.029707552799067227,-0.10078664786986749,-0.13708281333088984,-0.025458072514153662,0.06291349601835719,-0.04878982225276346,-0.015478902420706125,-0.0406222307609283,-0.07720629007737251,-0.007980001823387678,-0.055703981825596355,0.08374883581678852,-0.07323147029913019,-0.043576720871140506,-0.021624186029719633,-0.0649814061877115,-0.028793699375012555,-0.04557519409513017,0.03390777808696699,-0.11143067584532323,-0.16754134975244075,-0.0906530976591316,0.01947432909176197,-0.008065914762022758,-0.08812185955048257,-0.0478414412139411,0.09055146196239278,0.027622742827320745,0.07323959595148463,-0.003987088405099579,0.02611049623632436,-0.11055952252320017,-0.09158641159054341,-0.1934923634218022,0.09372285760963611,-0.10335895992234453,-0.004854087668188388,0.008954541270984325,0.01265151860276325,0.045204499679894095,0.01673795093214662,-0.041454555054785736,0.08792126797074312,0.04717636854823379,-0.0005616872367054104,-0.01621377206549615
hand,0.040977015255971166,0.04102997175439163,-0.030994377337900336,0.06164993100615801,0.0015287534606883146,0.058162053158756444,0.10011801073616378,0.0,0.07104024289492816,0.04808767563219363,0.11886222286542672,-0.1948745078861238,-0.009847475305625311,0.19030142227518315,0.14358893019919977,0.13280551660889756,-0.030425722404995387,-0.048783343744996197,0.09257289164499558,-0.034043783739101385,0.11531132055044649,0.08556908759436468,-0.05245307147280209,0.029244368843543284,0.065973794824733,0.19184525507333447,-0.09461681059676022,0.015670977891976245,0.21559044370234667,0.03721761313363661,-0.0844682745251464,-0.03953182897414238,0.09052894867068265,-0.14437383415579233,-0.08509775014393373,0.06614921212160557,0.07797879446359188,0.032173604353898044,-0.0291135099927059,0.06343738066554075,0.21270718176592268,0.17059963398012504,0.09916673847892474,0.03652424463789186,0.023062469277959574,-0.06008511560306706,-0.13993075768617352,-0.15257660581889504,0.20767748624450896,-0.011210037449290666,-0.011569149834293954,-0.02876266515301329,0.041446676767027874,0.02318071271816724,-0.00033182750603885647,0.0003285017890510833,0.16392838798981432,0.11187917868188044,0.09658723037273656,0.10772285964768996
foot,0.061776609596877474,-0.021963246506309514,-0.016564254527142136,0.01503730749030241,0.12164185190526125,0.05438148179936597,-0.020546669143775342,0.07104024289492816,0.0,-0.016574965171918254,0.201442670017624,-0.15162652923447126,0.06234516821484071,0.1163178864560446,0.07423548372253261,0.0592531679660451,-0.01648835065826304,-0.03508155588241285,0.08916660296593956,-0.02066359095885109,0.06218487182384794,0.07093906143720127,-0.02087274938411593,-0.013058058668907774,0.02266639845912463,0.0607491523629253,-0.12121643929606353,0.07801058377997055,0.036614148907726074,0.010744021388823244,-0.07249350870936211,-0.09764094963389522,0.04030246485363109,-0.16522003019127574,-0.06603370387341817,-0.07320639063902759,-0.008881659768354006,0.05488276613599016,-0.11770150459325121,0.03455602539150518,0.028049659291485785,-0.013345100417174766,0.05071177835183541,0.041425618446639445,-0.0669905640755073,-0.14068204667454295,-0.13682673615490204,-0.19731492343111962,0.05405913388515304,-0.1415634623747845,-0.01173292175220604,-0.015472976333512294,0.012923994979679387,-0.06056097055636146,0.031814446893209156,0.0866945252958514,0.12505506391276713,0.07847001215475277,0.04082146774873943,0.014668335795144732
eye,0.09064151762868042,0.059483976676486694,0.09724772906225729,0.0825679517964357,0.01592759580755404,-0.004362064977401381,0.05052481324572361,0.04808767563219363,-0.016574965171918254,0.0,-0.024609165301366996,-0.2119295997776742,-0.03179471785895975,0.05148406662586516,-0.00951340127501827,0.07170590106183936,-0.10741312792007496,-0.0907866353392058,0.07037221282697817,-0.027947377793635708,0.06491306477915038,0.027608392265237286,0.021988112533887078,-0.03294620361465314,0.034589397894079305,0.03162574532411733,-0.060820993027389095,0.00926787800606621,0.05070410971468495,-0.04408391855782247,-0.0716462314514889,-0.08619759328889502,0.021611331025665786,0.01234636377587478,-0.15864690572270573,0.011847074558072629,0.04530948809516011,0.0787529647317641,-0.0050588603798904785,0.01074414925837236,0.053853726304623636,0.044063890807619355,0.14482033049965157,0.0025502663950295254,0.002622741581638166,-0.04468707724883797,-0.0551778088728959,-0.01814432490592381,0.15466624926292696,-0.06652916380532384,0.020088322354206226,0.03922076888040038,0.034522789761716674,0.04692502167905471,0.0174594192646675,-0.04513273455706546,0.10498979138827966,0.01734359458256754,-0.022722577414153088,0.010951556707948798
