,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
apartment,0.10389714885234827,0.11696084855219246,0.15544860240658237,0.12966296083913262,0.10724575872535258,0.0867576865003066,0.09884569259121391,0.09385635502212407,0.12539900430318118,0.09643261301274232,1.0,0.21858568866407876,0.5226777108197739,0.4125924911354259,0.1148795228146116,0.25354472814780954,0.29823917674845557,0.20792458321539872,0.1919527456776448,0.20701063920853927,0.10237319970830702,0.09042906668043678,0.07323069034660194,0.10255483244504844,0.15940761125163827,0.1294035925880331,0.2558585081809366,0.4962647354643691,0.13663964746384913,0.24857039214155008,0.12381343824983267,0.14135974621036032,0.17308609455036467,0.13245396840042648,0.11136221506022484,0.09327048979831812,0.08751578878944105,0.1489199587304743,0.09173879714035649,0.06171888331908331,0.0466072696972031,0.08566058635103102,0.16055723635634378,0.14870486399326907,0.16537848291558888,0.09198356035993197,0.059707107656495534,0.06148966266487461,0.11350437140029852,0.13898755253839026,0.03731817102358257,0.020683663519558027,0.06819758185758504,0.04820759650665251,0.0427651865423838,0.13588999828485257,0.23238153033963102,0.154452206152936,0.1371699689973876,0.10563467516894941
igloo,0.19088921570374182,0.2610281971425132,0.24991319686829966,0.21549876320765474,0.26692073921676585,0.07399851268969401,0.09159836951353288,0.09487101757567996,0.11198977603857219,0.13167357306237845,0.21858568866407876,1.0,0.3054461208987887,0.08638907294812617,0.052377079959903025,0.14805780212748448,0.317789426851775,0.32403138636593365,0.14341667047171666,0.229344931093961,0.12891425053526512,0.20446154683395992,0.17500938595527057,0.15652014224466834,0.11472509726525917,0.0968110814693232,0.39012477761479025,0.22907793117586076,0.1181031170058582,0.2150416606371835,0.3473904179467279,0.25729148028767523,0.1153480685304632,0.28443923728529275,0.26545454944102337,0.1564211603354997,0.15276674988820482,0.18839295976195444,0.22132211313237588,0.0499537893140093,0.017931385936431947,0.1038200059271684,0.1709871738958598,0.2500877540468877,0.19694129540638297,0.2366380950970912,0.23132276695788598,0.21583368946693843,0.10668206478138156,0.2352059807792857,0.08723180971700763,0.06582048126308723,0.11640576047143057,0.14454006535425526,0.10647544919909156,0.25144495249647775,0.08700640854184162,0.08855810625800396,0.18698474859637473,0.21219230803579703
barn,0.3300843378737554,0.25799873709298393,0.24117910902474243,0.23879359831000008,0.3552588488874778,0.12838077729186242,0.1397393492660561,0.14225880089484733,0.20745375888654788,0.14956568975503898,0.5226777108197739,0.3054461208987887,1.0,0.5343364502970033,0.3086940052494025,0.3270233899399759,0.317938334767877,0.43234509740347016,0.24640987857287336,0.3796915213375159,0.11936677413738608,0.11668138178098113,0.1177464356945604,0.16987941053831002,0.15697035021551808,0.16400798277783898,0.33612482165493174,0.434974628895775,0.1707888611861816,0.2404821074648241,0.2641170045217985,0.32510655471815647,0.20344723435457746,0.3056057752488248,0.23817320902364297,0.16249969783104715,0.14363948507373042,0.2160438964534617,0.1703217480453259,0.09382670967439617,0.027690203923641295,0.07238883524932463,0.24223627579896734,0.15315630177151265,0.2649432816337084,0.13335324543149518,0.18693763059961535,0.13409228680863464,0.21442356821369,0.25173676165472947,0.09152377416075211,0.055052860969255324,0.2799057857740969,0.11899947729547719,0.10232470192596854,0.19595631606109878,0.17964449685286368,0.16750135582085054,0.18870835142465942,0.14324205501707007
house,0.19536829535699865,0.14276600970009426,0.12737177474643419,0.12492251617221958,0.09928618009340273,0.06620538066667822,0.11578386441976957,0.13244279650523635,0.16224917053009824,0.1272947341461409,0.4125924911354259,0.08638907294812617,0.5343364502970033,1.0,0.6048361160786051,0.1786575520850527,0.11055563813509078,0.15616259099140378,0.14109041401018185,0.20686480987488018,0.07935748505943858,0.06028624235252859,0.04615907690738946,0.09567874734301406,0.11467634992248033,0.20470578447565788,0.10178249437651167,0.25572975219257027,0.11930940305400323,0.1500422766877344,0.09410256711212359,0.11691306287251814,0.08813715454465867,0.11735313922062929,0.06409566254895782,0.07406948716145748,0.0970843027329078,0.14258616018306575,0.052525237970358865,0.13434142989513193,0.05778048461031263,0.09095372709770148,0.16847795735295398,0.042120585560652894,0.23003382420553903,0.05368607756424958,0.058930696506198844,0.045953469132460484,0.21475243316917178,0.11392197386870974,0.03181402429479411,0.012378631165045024,0.1001957384068101,0.03558182934670212,0.025583572006976276,0.07474843686744634,0.23001496073004465,0.2011730879431149,0.0789048232397142,0.051635089364939
church,0.1274455082602902,0.0930306159707706,0.059274201856870275,0.07582563244994014,0.0476225884350634,0.04710658930747941,0.07967303466720912,0.09137327271868982,0.08768751839758177,0.09402826295816306,0.1148795228146116,0.052377079959903025,0.3086940052494025,0.6048361160786051,1.0,0.10768869479288845,0.08112358982134266,0.099835255551406,0.08876236420636405,0.18441229157320072,0.034761161224573615,0.008961157091492766,0.01601630557853034,0.06201263112725248,0.07419284087632481,0.1325044074951272,0.0674516330966444,0.08702930630676105,0.07798117091131271,0.0828040434334875,0.049593089648727884,0.053501464673550235,0.052476735990397046,0.05368264235964369,0.02756026124235905,0.03502847179166678,0.03489526456124862,0.08331502482813505,0.031236275141222073,0.08672974200398882,0.026453339199256198,0.06167031934039498,0.08623220614120967,0.01737420413040729,0.1958876031059415,0.021470013663799428,0.03202913777138795,0.025768508117701767,0.1463328236048276,0.06939852989339866,0.010578957880402504,0.011472898012057012,0.0562364971540986,0.01724764122352317,0.02052852908529246,0.04348065655722168,0.10276961661537214,0.213415141187716,0.034318517552566374,0.033898535169341854
door,0.2680743364044782,0.21219634188825823,0.30870212296255106,0.29175097905733677,0.20299165401342434,0.38388560101516833,0.46900140418954384,0.5057652816186311,0.374933385305112,0.33544766630165007,0.25354472814780954,0.14805780212748448,0.3270233899399759,0.1786575520850527,0.10768869479288845,1.0,0.5811962302411223,0.5465470677626281,0.7437328833559733,0.4889702726994712,0.25155016881155984,0.22190221656350848,0.2855273512745891,0.3159531615624906,0.22038113310123017,0.23743328301534267,0.4376117799803526,0.5206945049225778,0.34220070339192654,0.569018758492793,0.15363771542824023,0.24307924921001042,0.18414800602702783,0.17081542162422078,0.2114815093764751,0.4142318140217924,0.2721590475022196,0.5276417542331432,0.24377720621553572,0.08650254517339233,0.046039149784032486,0.1993372374674099,0.2969183179486817,0.3732564960975236,0.28484282640041236,0.30177418693773095,0.25978109078265743,0.26237232530584775,0.18720154863173993,0.3817626093064958,0.046452205265218184,0.03914208848986198,0.09247261876619776,0.07707183807513124,0.06273800723897173,0.3042081423288819,0.3833655477237665,0.2142769572748793,0.3505860715915826,0.20081498794695454
closet,0.1805044978947778,0.2178055306236099,0.2972325921039173,0.2597556812329371,0.25171744291636494,0.20981304084417696,0.24342532346043902,0.2704951116790244,0.1946631308796647,0.22764545578815518,0.29823917674845557,0.317789426851775,0.317938334767877,0.11055563813509078,0.08112358982134266,0.5811962302411223,1.0,0.411691904918546,0.3973019160512572,0.26468874271312615,0.24866402351144903,0.29155239266777827,0.2637329184687072,0.2602775009175208,0.2667510342726763,0.1894141506200626,0.6194136554679962,0.47352951709144864,0.2380280861523074,0.5106857509213143,0.30489596417882814,0.2350699863219982,0.13618892215828635,0.26746083118007563,0.22647858393870124,0.34665974718743414,0.2666590388813348,0.2905362328143742,0.3061048328601735,0.07209783216932836,0.04191688739055107,0.12288302722211483,0.2610456193365115,0.58925115373714,0.23089983610992756,0.31775485203327797,0.23611845193657383,0.2559980074225606,0.14665901406614362,0.35359898805068846,0.08310620698846483,0.07436609945176767,0.12875010966716677,0.1363161840910328,0.12182350525164085,0.27843361004722433,0.16961107395760008,0.13002098081442076,0.25043724451728777,0.21149073176548386
chimney,0.18685848429594043,0.21658095462232788,0.19855709151384485,0.18118624154710317,0.24018739850071275,0.24971642177682482,0.264366753195265,0.24861770143468878,0.35367827510514943,0.2195292727933764,0.20792458321539872,0.32403138636593365,0.43234509740347016,0.15616259099140378,0.099835255551406,0.5465470677626281,0.411691904918546,1.0,0.4889535026889691,0.6732249650864959,0.20576824387792947,0.21457834142022814,0.2970830018517822,0.28409094068785956,0.19151555648186577,0.09593992832853286,0.40461371912063354,0.3195710350025853,0.20422835270793457,0.297806203771357,0.2128941539568085,0.2678332251889036,0.1662114620497241,0.20251486729375875,0.21888810442970114,0.34921549117487716,0.255005354053542,0.49333680010836545,0.28008139132650495,0.07997937060054784,0.025407789867752852,0.08236643904407054,0.15833140419733588,0.3895319886135214,0.26094849310784785,0.3109703272783697,0.4056069022821665,0.2787413673437549,0.1324266439974856,0.3920866865029066,0.07817108546915685,0.053645911696391275,0.14483861190612182,0.10704263818063557,0.07248204770586775,0.21838784509502904,0.15845971150361501,0.1320618110035084,0.23103545908907036,0.2078296958729284
window,0.16066827950827386,0.13369167141138252,0.20211133930226105,0.18340026309493065,0.12858295746002948,0.2508220524177483,0.29254191139383506,0.35722733174000865,0.2645432658746505,0.309246425990584,0.1919527456776448,0.14341667047171666,0.24640987857287336,0.14109041401018185,0.08876236420636405,0.7437328833559733,0.3973019160512572,0.4889535026889691,1.0,0.5148520471454555,0.18502224152592883,0.1359008227072267,0.21490295525809897,0.24333696359260018,0.1761472105625322,0.15609155297573418,0.32770744715141065,0.3592208701092908,0.408909050428082,0.4428698875422113,0.15047529258063772,0.19350358817055713,0.13455539361926042,0.11645486772595041,0.11769509579144075,0.2916929544096561,0.20731012924784595,0.5126627852767307,0.16066705703937642,0.06010568552986899,0.03396356449447582,0.3110180060758276,0.23825735287137026,0.25845637106772523,0.200986997522341,0.19274161769196876,0.2059474394486486,0.1390072763563307,0.13717219852674006,0.23301498525399347,0.04765446844458742,0.033450851003463435,0.06218973285729027,0.057489477068339005,0.05788938594877421,0.19278417515390528,0.2385018133064878,0.1394555253904148,0.1932691680265506,0.13150715436174215
arch,0.19141565872240754,0.25139535972984167,0.1553094052437415,0.12749120731892763,0.17812710170629112,0.3230719303208834,0.3435434743329063,0.250438579417511,0.35572472524285376,0.2633808439767513,0.20701063920853927,0.229344931093961,0.3796915213375159,0.20686480987488018,0.18441229157320072,0.4889702726994712,0.26468874271312615,0.6732249650864959,0.5148520471454555,1.0,0.18496269862381293,0.13866983649761128,0.26364044630355316,0.23507988256419088,0.20307881050247006,0.1603385811107295,0.32010170528047466,0.25357002604624174,0.20406337596355342,0.25412068647649155,0.17769104633939514,0.2711838344501457,0.1349286957711531,0.19234115702217863,0.18304289342590283,0.26691430616969686,0.16179203658566765,0.41630917505398746,0.18988696070362374,0.0922186028459441,0.026337150612590902,0.10682991106009566,0.1749697906608199,0.08755123420807433,0.3303052540016324,0.14779364286535815,0.2910018003202951,0.1495378229291299,0.14436098516668025,0.34317591331017683,0.0606598378815175,0.044478753430953345,0.10080582560572357,0.07859991204374335,0.06401903811574489,0.19407371763929615,0.1293825508282353,0.1490669428896744,0.16741938646642907,0.14253164530057977
